cmax,tau,M,cM,p_final,p_likelihood,likelihood_strength,prior_a,prior_b,prior_mean,post_a,post_b,post_mean,delta_mu,KL_post_prior
50.0,10.0,150,49.99998470488398,0.203167,0.47849860958775603,50.0,11.158346892537162,40.84163781234682,0.21458365720438577,35.083277371924964,66.91670733295902,0.3439537513014706,0.12937009409708483,2.28166007985424
50.0,15.0,150,49.997730003511876,0.203167,0.47849860958775603,50.0,11.157888811623497,40.83984119188838,0.21458415224816293,35.0828192910113,66.91491071250059,0.34395686344995985,0.1293727112017969,2.2816535296076426
50.0,25.0,150,49.876062391166684,0.203167,0.47849860958775603,50.0,11.133169967826161,40.74289242334052,0.21461092948586666,35.05810044721396,66.81796194395272,0.3441250046808464,0.12951407519497973,2.2812967798077444
50.0,40.0,150,48.824112707199546,0.203167,0.47849860958775603,50.0,10.91944850638361,39.90466420081594,0.21484779418186334,34.844378985771414,65.97973372142813,0.3455956918458004,0.13074789766393707,2.277937898624978
50.0,60.0,150,45.89575006880506,0.203167,0.47849860958775603,50.0,10.324501854228917,37.571248214576144,0.21556196195706168,34.24943233361672,63.64631773518835,0.3498561715861641,0.13429420962910243,2.26581559365301
100.0,10.0,150,99.99996940976796,0.203167,0.47849860958775603,50.0,21.316693785074325,80.68327562469364,0.20898725664771703,45.241624264462125,106.75834514530584,0.2976423247989262,0.08865506815120919,2.1487655939473576
100.0,15.0,150,99.99546000702375,0.203167,0.47849860958775603,50.0,21.315777623246994,80.67968238377676,0.20898751397173218,45.2407081026348,106.75475190438897,0.29764512769375534,0.08865761372202316,2.148788707569478
100.0,25.0,150,99.75212478233337,0.203167,0.47849860958775603,50.0,21.266339935652322,80.48578484668104,0.2090014334459258,45.19127041504012,106.56085436729325,0.29779662380271316,0.08879519035678735,2.150035061741434
100.0,40.0,150,97.64822541439909,0.203167,0.47849860958775603,50.0,20.83889701276722,78.80932840163187,0.2091246173840987,44.763827492155016,104.88439792224408,0.29912701850104284,0.09000240111694413,2.160733368248666
100.0,60.0,150,91.79150013761011,0.203167,0.47849860958775603,50.0,19.649003708457833,74.14249642915229,0.20949663540566674,43.57393418784564,100.21756594976449,0.30303553510582565,0.09353889970015891,2.1896244240257783
200.0,10.0,150,199.9999388195359,0.203167,0.47849860958775603,50.0,41.63338757014865,160.36655124938727,0.20610594148445785,65.55831804953645,186.44162076999947,0.26015211891198575,0.0540461774275279,1.6501203235015902
200.0,15.0,150,199.9909200140475,0.203167,0.47849860958775603,50.0,41.63155524649399,160.35936476755353,0.20610607270689882,65.55648572588179,186.43443428816573,0.26015415842080286,0.05404808571390404,1.6501585385208242
200.0,25.0,150,199.50424956466674,0.203167,0.47849860958775603,50.0,41.532679871304644,159.97156969336208,0.20611317111717048,65.45761035069245,186.0466392139743,0.2602644307762222,0.05415125965905171,1.6522228160713712
200.0,40.0,150,195.29645082879819,0.203167,0.47849860958775603,50.0,40.67779402553444,156.61865680326375,0.20617600496465804,64.60272450492224,182.69372632387595,0.2612359550186247,0.05505995005396663,1.6702456785269364
200.0,60.0,150,183.58300027522023,0.203167,0.47849860958775603,50.0,38.29800741691567,147.28499285830458,0.20636592446597637,62.22293789630346,173.36006237891678,0.2641232084813552,0.0577572840153788,1.722084718786182
300.0,10.0,150,299.99990822930386,0.203167,0.47849860958775603,50.0,61.95008135522297,240.04982687408088,0.20513278205458974,85.87501183461077,266.12489639469305,0.24396316540729213,0.03883038335270239,1.3043127318095418
300.0,15.0,150,299.9863800210712,0.203167,0.47849860958775603,50.0,61.947332869740976,240.03904715133027,0.20513287011653797,85.87226334912877,266.11411667194244,0.24396473336290647,0.0388318632463685,1.304350488603867
300.0,25.0,150,299.2563743470001,0.203167,0.47849860958775603,50.0,61.79901980695696,239.45735454004313,0.2051376338210155,85.72395028634476,265.53242406065533,0.24404952207855413,0.038911888257538635,1.3063909478634996
300.0,40.0,150,292.94467624319725,0.203167,0.47849860958775603,50.0,60.51669103830165,234.4279852048956,0.2051798045965925,84.44162151768946,260.5030547255078,0.24479757866516472,0.039617774068572226,1.3242847446732848
300.0,60.0,150,275.37450041283034,0.203167,0.47849860958775603,50.0,56.9470111253735,220.42748928745684,0.20530730489173996,80.8719416047613,246.50255880806904,0.24703189009180065,0.0417245852000607,1.3765796729814928
400.0,10.0,150,399.9998776390718,0.203167,0.47849860958775603,50.0,82.2667751402973,319.73310249877454,0.20464378154431664,106.1917056196851,345.80817201938675,0.23493746541364563,0.030293683869328986,1.0724620011791215
400.0,15.0,150,399.981840028095,0.203167,0.47849860958775603,50.0,82.26311049298798,319.71872953510706,0.20464384781002407,106.18804097237577,345.79379905571926,0.23493873330373521,0.03029488549371115,1.072496652773386
400.0,25.0,150,399.0084991293335,0.203167,0.47849860958775603,50.0,82.06535974260929,318.94313938672417,0.20464743246316128,105.99029022199709,345.0182089073364,0.23500730125203,0.030359868788868732,1.0743697328422899
400.0,40.0,150,390.59290165759637,0.203167,0.47849860958775603,50.0,80.35558805106888,312.2373136065275,0.20467916692305332,104.28051853045667,338.3123831271397,0.23561272252677234,0.03093355560371902,1.0908323511444615
400.0,60.0,150,367.16600055044046,0.203167,0.47849860958775603,50.0,75.59601483383133,293.56998571660915,0.20477512750692076,99.52094531321913,319.64505523722136,0.2374260917694584,0.032650964262537635,1.139332112363436
