Drug,Disease,GraphDistanceToIndication,RandomWalkScore,StructuralLikelihood,PreferentialAttachment,KatzSimilarity,Label
valacyclovir,sexually transmitted diseases,1.0,0.036699,1.0116,8e-06,0.005002,1
valacyclovir,herpes simplex,1.0,0.031465,1.0094,2e-06,0.005001,1
valacyclovir,alzheimer disease,1.0,0.046075,1.1358,0.000194,0.005017,1
valacyclovir,hiv infections,1.0,0.048463,1.1297,0.000204,0.005018,1
valacyclovir,"pulmonary disease, chronic obstructive",1.0,0.039986,1.0264,4.1e-05,0.005004,1
azithromycin,chronic disease,1.0,0.010328,1.0147,6e-06,0.005002,1
azithromycin,bronchopulmonary dysplasia,1.0,0.011691,1.0156,1.7e-05,0.005003,1
azithromycin,obstetric labor complications,1.0,0.010328,1.0147,6e-06,0.005002,1
azithromycin,sexually transmitted diseases,1.0,0.01293,1.017,2.9e-05,0.005003,1
azithromycin,pregnancy in obesity,1.0,0.010328,1.0147,6e-06,0.005002,1
azithromycin,respiratory sounds,1.0,0.014132,1.0173,2.9e-05,0.005004,1
azithromycin,pneumonia,1.0,0.01506,1.0209,8.1e-05,0.005006,1
azithromycin,tuberculosis,1.0,0.015118,1.0318,0.000115,0.005008,1
azithromycin,respiratory tract infections,1.0,0.01452,1.018,3.5e-05,0.005003,1
azithromycin,"anemia, sickle cell",1.0,0.011927,1.0327,9.8e-05,0.005005,1
azithromycin,asthma,1.0,0.019417,1.0643,0.000294,0.005013,1
azithromycin,bronchiolitis obliterans,1.0,0.010782,1.0151,1.2e-05,0.005003,1
azithromycin,"arthritis, reactive",1.0,0.011563,1.0163,1.7e-05,0.005003,1
azithromycin,hiv infections,1.0,0.023599,1.1357,0.000693,0.005022,1
azithromycin,bronchiectasis,1.0,0.010328,1.0147,6e-06,0.005002,1
azithromycin,"pulmonary disease, chronic obstructive",1.0,0.017317,1.0318,0.000139,0.005009,1
azithromycin,arthritis,1.0,0.014619,1.045,0.000202,0.005009,1
atrasentan,diabetic nephropathies,1.0,0.044863,1.0137,1.9e-05,0.005003,1
atrasentan,"glomerulosclerosis, focal segmental",1.0,0.043226,1.0033,4e-06,0.005001,1
atrasentan,"nephritis, hereditary",1.0,0.043717,1.0036,5e-06,0.005001,1
atrasentan,"glomerulonephritis, iga",1.0,0.042919,1.0043,7e-06,0.005001,1
memantine,frontotemporal dementia,1.0,0.015536,1.0195,2.9e-05,0.005003,1
memantine,hepatic encephalopathy,1.0,0.012512,1.0168,1.4e-05,0.005002,1
memantine,communication disorders,1.0,0.013079,1.0231,5.2e-05,0.005005,1
memantine,psychophysiologic disorders,1.0,0.024502,1.0763,0.000423,0.005028,1
memantine,neuromyelitis optica,1.0,0.012372,1.0314,5.7e-05,0.005004,1
memantine,dementia,1.0,0.026316,1.0987,0.000485,0.00503,1
memantine,down syndrome,1.0,0.012931,1.0186,2.4e-05,0.005003,1
memantine,intellectual disability,1.0,0.010677,1.019,1e-05,0.005002,1
memantine,multiple sclerosis,1.0,0.013757,1.0237,5.7e-05,0.005005,1
memantine,frontotemporal lobar degeneration,1.0,0.013594,1.0172,1.4e-05,0.005002,1
memantine,delirium,1.0,0.01254,1.0258,5.7e-05,0.005005,1
memantine,alzheimer disease,1.0,0.024768,1.1429,0.000542,0.005025,1
memantine,glioblastoma,1.0,0.012183,1.0356,0.000105,0.005005,1
memantine,huntington disease,1.0,0.013909,1.0184,1.9e-05,0.005003,1
neostigmine,joint diseases,1.0,0.049585,1.0089,9e-06,0.005002,1
neostigmine,synesthesia,1.0,0.057044,1.0224,3e-05,0.005004,1
neostigmine,breast neoplasms,1.0,0.056321,1.0658,5.8e-05,0.005008,1
bosentan,scleredema adultorum,1.0,0.017595,1.0111,1e-05,0.005002,1
bosentan,sarcoidosis,1.0,0.017155,1.0114,1e-05,0.005002,1
bosentan,familial primary pulmonary hypertension,1.0,0.017424,1.0103,7e-06,0.005002,1
bosentan,hypertension,1.0,0.028958,1.1086,0.000336,0.005018,1
bosentan,"diabetes mellitus, type 2",1.0,0.023632,1.0814,0.000241,0.005013,1
bosentan,"scleroderma, systemic",1.0,0.017053,1.0121,1e-05,0.005002,1
bosentan,pulmonary fibrosis,1.0,0.016593,1.0097,3e-06,0.005001,1
bosentan,idiopathic pulmonary fibrosis,1.0,0.017527,1.0114,1e-05,0.005002,1
bosentan,"hypertension, pulmonary",1.0,0.021418,1.0162,3.7e-05,0.005004,1
bosentan,pulmonary arterial hypertension,1.0,0.022002,1.0158,3.4e-05,0.005004,1
dimethyl fumarate,"arthritis, rheumatoid",1.0,0.040405,1.0886,0.000129,0.005013,1
dimethyl fumarate,"multiple sclerosis, relapsing-remitting",1.0,0.036116,1.0143,1.4e-05,0.005002,1
dimethyl fumarate,multiple sclerosis,1.0,0.035383,1.0163,2e-05,0.005003,1
dimethyl fumarate,psoriasis,1.0,0.029843,1.0129,1.2e-05,0.005002,1
dimethyl fumarate,alzheimer disease,1.0,0.041979,1.1347,0.000194,0.005017,1
ritanserin,obesity,1.0,0.052068,1.1327,0.000144,0.005022,1
ritanserin,"diabetes mellitus, type 2",1.0,0.047206,1.0823,9.6e-05,0.005017,1
ritanserin,overweight,1.0,0.039205,1.0308,2.7e-05,0.005007,1
ritanserin,cardiovascular diseases,1.0,0.041716,1.0738,8e-05,0.005013,1
capecitabine,neoplasm metastasis,1.0,0.01453,1.0231,4.5e-05,0.005008,1
capecitabine,rectal neoplasms,1.0,0.01504,1.0183,2.4e-05,0.005005,1
capecitabine,prostatic neoplasms,1.0,0.017056,1.0396,0.00011,0.005009,1
capecitabine,gastrointestinal neoplasms,1.0,0.014014,1.019,2.9e-05,0.005007,1
capecitabine,triple negative breast neoplasms,1.0,0.015428,1.0302,6.9e-05,0.005011,1
capecitabine,neoplasms,1.0,0.016844,1.0478,0.000143,0.005013,1
capecitabine,biliary tract neoplasms,1.0,0.014579,1.019,3.7e-05,0.005008,1
capecitabine,carcinoma,1.0,0.017608,1.0458,0.00013,0.005014,1
capecitabine,colorectal neoplasms,1.0,0.017615,1.0305,8.2e-05,0.005011,1
capecitabine,brain neoplasms,1.0,0.013348,1.0225,4.9e-05,0.005005,1
capecitabine,stomach neoplasms,1.0,0.015573,1.023,4.9e-05,0.005008,1
capecitabine,breast neoplasms,1.0,0.020526,1.0746,0.000232,0.005018,1
sodium lactate,"shock, septic",1.0,0.137145,1.0043,3e-06,0.005001,1
sodium lactate,intracranial hypertension,1.0,0.119191,1.0011,1e-06,0.005,1
oxygen,down syndrome,1.0,0.058917,1.0044,5e-06,0.005001,1
oxygen,"sleep apnea, obstructive",1.0,0.060659,1.0079,1e-05,0.005002,1
oxygen,"heart defects, congenital",1.0,0.057501,1.0017,3e-06,0.005001,1
lorazepam,epilepsia partialis continua,1.0,0.019856,1.0147,8e-06,0.005002,1
lorazepam,"epilepsy, reflex",1.0,0.018678,1.0152,8e-06,0.005002,1
lorazepam,psychophysiologic disorders,1.0,0.042968,1.0738,0.000242,0.005029,1
lorazepam,dementia,1.0,0.044612,1.0962,0.000277,0.005031,1
lorazepam,obesity,1.0,0.027187,1.1358,0.000288,0.005019,1
lorazepam,seizures,1.0,0.024787,1.0306,6.5e-05,0.005011,1
lorazepam,status epilepticus,1.0,0.022278,1.0202,2.7e-05,0.005006,1
lorazepam,epilepsy,1.0,0.03449,1.0747,0.000179,0.005022,1
etoricoxib,"arthritis, rheumatoid",1.0,0.165332,1.0829,2.6e-05,0.00501,1
fluorometholone,glaucoma,1.0,0.089068,1.0142,1.5e-05,0.005003,1
fluorometholone,fibrosis,1.0,0.082769,1.0126,1e-05,0.005002,1
thioctic acid,diabetes mellitus,1.0,0.02942,1.0978,0.000171,0.005019,1
thioctic acid,coronary artery disease,1.0,0.023056,1.0366,4.8e-05,0.005006,1
thioctic acid,diabetic neuropathies,1.0,0.022783,1.0272,3.1e-05,0.005004,1
thioctic acid,acquired immunodeficiency syndrome,1.0,0.023033,1.0313,5.5e-05,0.005006,1
thioctic acid,"diabetes mellitus, type 2",1.0,0.029496,1.0882,0.000169,0.005018,1
thioctic acid,alzheimer disease,1.0,0.030794,1.1434,0.000271,0.005023,1
thioctic acid,hiv infections,1.0,0.032327,1.1373,0.000285,0.005022,1
tetrabenazine,huntington disease,1.0,0.167242,1.0035,1e-06,0.005001,1
cefazolin,obesity,1.0,0.083765,1.1265,7.2e-05,0.005013,1
cefazolin,infections,1.0,0.076291,1.0163,1.2e-05,0.005002,1
zolpidem,psychophysiologic disorders,1.0,0.057979,1.0701,0.000151,0.005026,1
zolpidem,sleep initiation and maintenance disorders,1.0,0.03311,1.0164,1.7e-05,0.005004,1
zolpidem,dementia,1.0,0.060357,1.0924,0.000173,0.005028,1
zolpidem,sleep wake disorders,1.0,0.031726,1.0115,7e-06,0.005002,1
zolpidem,alzheimer disease,1.0,0.044765,1.1364,0.000194,0.005021,1
glucocorticoids,"arthritis, rheumatoid",1.0,0.050576,1.0854,0.000155,0.005011,1
glucocorticoids,"aspergillosis, allergic bronchopulmonary",1.0,0.040162,1.0072,8e-06,0.005001,1
glucocorticoids,giant cell arteritis,1.0,0.033376,1.0051,2e-06,0.005001,1
glucocorticoids,anti-glomerular basement membrane disease,1.0,0.033376,1.0051,2e-06,0.005001,1
glucocorticoids,connective tissue diseases,1.0,0.046133,1.0057,6e-06,0.005001,1
glucocorticoids,"lung diseases, interstitial",1.0,0.047192,1.0094,1.2e-05,0.005002,1
reverse transcriptase inhibitors,hiv-associated lipodystrophy syndrome,1.0,0.075916,1.0156,1e-05,0.005004,1
reverse transcriptase inhibitors,hiv infections,1.0,0.101136,1.1241,8.2e-05,0.005017,1
pyrazinamide,hiv infections,1.0,0.112711,1.1237,8.2e-05,0.005015,1
pyrazinamide,"tuberculosis, pulmonary",1.0,0.08406,1.0047,2e-06,0.005001,1
clonazepam,epilepsia partialis continua,1.0,0.030407,1.0092,5e-06,0.005002,1
clonazepam,psychophysiologic disorders,1.0,0.060724,1.0681,0.000151,0.005027,1
clonazepam,dementia,1.0,0.062917,1.0903,0.000173,0.005029,1
clonazepam,status epilepticus,1.0,0.033126,1.0147,1.7e-05,0.005005,1
clonazepam,epilepsy,1.0,0.045584,1.0689,0.000112,0.005016,1
hypoglycemic agents,diabetes mellitus,1.0,0.027174,1.0983,0.000245,0.005026,1
hypoglycemic agents,glucose metabolism disorders,1.0,0.015858,1.0249,2.4e-05,0.005004,1
hypoglycemic agents,hypertension,1.0,0.027554,1.1161,0.000336,0.005028,1
hypoglycemic agents,endocrine system diseases,1.0,0.014923,1.0186,1e-05,0.005002,1
hypoglycemic agents,metabolic diseases,1.0,0.014623,1.019,1e-05,0.005002,1
hypoglycemic agents,atherosclerosis,1.0,0.018916,1.0423,7.1e-05,0.005012,1
hypoglycemic agents,hypercholesterolemia,1.0,0.017553,1.0343,5.1e-05,0.00501,1
hypoglycemic agents,"diabetes mellitus, type 2",1.0,0.025011,1.0887,0.000241,0.005023,1
hypoglycemic agents,coronary disease,1.0,0.018317,1.0345,5.8e-05,0.005011,1
hypoglycemic agents,cardiovascular diseases,1.0,0.023223,1.0802,0.0002,0.005023,1
olmesartan medoxomil,diabetic nephropathies,1.0,0.020035,1.0257,4.3e-05,0.005007,1
olmesartan medoxomil,metabolic syndrome,1.0,0.021582,1.0492,9.8e-05,0.005013,1
olmesartan medoxomil,retinal diseases,1.0,0.016321,1.0154,6e-06,0.005002,1
olmesartan medoxomil,insulin resistance,1.0,0.020322,1.0357,6.7e-05,0.005008,1
olmesartan medoxomil,hypertension,1.0,0.033788,1.1131,0.000303,0.005027,1
olmesartan medoxomil,proteinuria,1.0,0.019334,1.0179,2.1e-05,0.005004,1
olmesartan medoxomil,"diabetes mellitus, type 2",1.0,0.026813,1.0859,0.000217,0.00502,1
olmesartan medoxomil,cardiovascular diseases,1.0,0.024297,1.0773,0.00018,0.005018,1
olmesartan medoxomil,essential hypertension,1.0,0.019683,1.0279,4.6e-05,0.005008,1
methylprednisolone,frontotemporal dementia,1.0,0.011053,1.0216,3.5e-05,0.005003,1
methylprednisolone,"arthritis, rheumatoid",1.0,0.016054,1.0989,0.000439,0.005018,1
methylprednisolone,graft vs host disease,1.0,0.009728,1.0325,6.9e-05,0.005006,1
methylprednisolone,spondylarthropathies,1.0,0.008941,1.0186,1.2e-05,0.005002,1
methylprednisolone,joint diseases,1.0,0.010263,1.0229,5.2e-05,0.005004,1
methylprednisolone,neuromyelitis optica,1.0,0.010353,1.0336,6.9e-05,0.005007,1
methylprednisolone,osteoarthritis,1.0,0.011609,1.0397,0.00015,0.005009,1
methylprednisolone,pain,1.0,0.013048,1.0501,0.000214,0.00501,1
methylprednisolone,prostatic neoplasms,1.0,0.012121,1.0455,0.000156,0.005008,1
methylprednisolone,myelodysplastic syndromes,1.0,0.011744,1.0492,0.000167,0.00501,1
methylprednisolone,"multiple sclerosis, relapsing-remitting",1.0,0.01202,1.0238,4.6e-05,0.005004,1
methylprednisolone,leukemia,1.0,0.011799,1.0566,0.000196,0.005013,1
methylprednisolone,multiple sclerosis,1.0,0.011924,1.0259,6.9e-05,0.005005,1
methylprednisolone,"multiple sclerosis, chronic progressive",1.0,0.009053,1.0226,2.3e-05,0.005004,1
methylprednisolone,reperfusion injury,1.0,0.008825,1.019,1.2e-05,0.005002,1
methylprednisolone,asthma,1.0,0.014235,1.0676,0.000294,0.005012,1
methylprednisolone,sinusitis,1.0,0.008864,1.0185,1.2e-05,0.005002,1
tolvaptan,heart failure,1.0,0.055966,1.0191,1.8e-05,0.005003,1
tolvaptan,heart diseases,1.0,0.052645,1.0183,1.8e-05,0.005004,1
tolvaptan,cardiovascular diseases,1.0,0.059295,1.0673,6e-05,0.00501,1
clarithromycin,mycobacterium avium-intracellulare infection,1.0,0.065149,1.0049,3e-06,0.005001,1
clarithromycin,helicobacter infections,1.0,0.059618,1.0051,4e-06,0.005001,1
clarithromycin,hiv infections,1.0,0.088363,1.1241,0.000122,0.005016,1
pravastatin,polycystic kidney diseases,1.0,0.01556,1.0189,3e-06,0.005001,1
pravastatin,dyslipidemias,1.0,0.018282,1.0372,5.1e-05,0.005008,1
pravastatin,job syndrome,1.0,0.01556,1.0189,3e-06,0.005001,1
pravastatin,hyperlipidemias,1.0,0.018744,1.0254,2e-05,0.005003,1
pravastatin,obesity,1.0,0.025566,1.1416,0.00036,0.005023,1
pravastatin,"lupus erythematosus, systemic",1.0,0.017808,1.034,5.1e-05,0.005005,1
pravastatin,hypertension,1.0,0.027982,1.1182,0.000336,0.005025,1
pravastatin,coronary disease,1.0,0.01892,1.0365,5.8e-05,0.005008,1
pravastatin,cardiovascular diseases,1.0,0.023502,1.0822,0.0002,0.005019,1
pravastatin,hiv infections,1.0,0.025504,1.1399,0.000408,0.005021,1
interleukin 1 receptor antagonist protein,hypogonadism,1.0,0.010136,1.0317,3.9e-05,0.005005,1
interleukin 1 receptor antagonist protein,"arthritis, rheumatoid",1.0,0.016074,1.106,0.00049,0.005021,1
interleukin 1 receptor antagonist protein,joint diseases,1.0,0.010417,1.0296,5.8e-05,0.005004,1
interleukin 1 receptor antagonist protein,diabetes mellitus,1.0,0.015831,1.1068,0.000465,0.005023,1
interleukin 1 receptor antagonist protein,metabolic syndrome,1.0,0.012111,1.0601,0.000206,0.005013,1
interleukin 1 receptor antagonist protein,cytokine release syndrome,1.0,0.009441,1.0273,1.9e-05,0.005003,1
interleukin 1 receptor antagonist protein,obesity,1.0,0.017844,1.1483,0.000684,0.005028,1
interleukin 1 receptor antagonist protein,papilledema,1.0,0.009006,1.025,6e-06,0.005002,1
interleukin 1 receptor antagonist protein,"arthritis, juvenile",1.0,0.010817,1.0339,7.7e-05,0.005006,1
interleukin 1 receptor antagonist protein,"diabetes mellitus, type 2",1.0,0.016503,1.0972,0.000458,0.005025,1
interleukin 1 receptor antagonist protein,"diabetes mellitus, type 1",1.0,0.012565,1.0538,0.000187,0.005013,1
interleukin 1 receptor antagonist protein,"typhus, epidemic louse-borne",1.0,0.009006,1.025,6e-06,0.005002,1
interleukin 1 receptor antagonist protein,fatigue,1.0,0.011237,1.0292,3.9e-05,0.005004,1
interleukin 1 receptor antagonist protein,urticaria,1.0,0.009006,1.025,6e-06,0.005002,1
interleukin 1 receptor antagonist protein,"still's disease, adult-onset",1.0,0.009006,1.025,6e-06,0.005002,1
interleukin 1 receptor antagonist protein,covid-19,1.0,0.01245,1.0403,0.000142,0.005007,1
interleukin 1 receptor antagonist protein,"hepatitis, alcoholic",1.0,0.012013,1.0275,1.9e-05,0.005003,1
interleukin 1 receptor antagonist protein,nervous system malformations,1.0,0.009006,1.025,6e-06,0.005002,1
interleukin 1 receptor antagonist protein,arthritis,1.0,0.012585,1.055,0.000226,0.005013,1
probenecid,hypotension,1.0,0.028177,1.0209,3.1e-05,0.005004,1
probenecid,obesity,1.0,0.039604,1.1309,0.000216,0.00502,1
probenecid,prehypertension,1.0,0.02732,1.015,1.6e-05,0.005003,1
probenecid,hyperuricemia,1.0,0.024197,1.0105,4e-06,0.005001,1
probenecid,overweight,1.0,0.028892,1.0291,4.1e-05,0.005006,1
probenecid,epilepsy,1.0,0.031611,1.0701,0.000134,0.005011,1
fluconazole,"meningitis, cryptococcal",1.0,0.04652,1.006,5e-06,0.005002,1
fluconazole,meningitis,1.0,0.050578,1.0086,8e-06,0.005002,1
fluconazole,meningoencephalitis,1.0,0.04652,1.006,5e-06,0.005002,1
fluconazole,cryptococcosis,1.0,0.036844,1.005,2e-06,0.005001,1
fluconazole,hiv infections,1.0,0.063919,1.1251,0.000204,0.005016,1
sorafenib,"thyroid cancer, papillary",1.0,0.011727,1.0112,4e-06,0.005002,1
sorafenib,prostatic neoplasms,1.0,0.017073,1.0387,0.000119,0.005008,1
sorafenib,rhabdomyosarcoma,1.0,0.01525,1.0255,5.7e-05,0.005005,1
sorafenib,"lymphoma, large-cell, anaplastic",1.0,0.012465,1.0189,2.2e-05,0.005004,1
sorafenib,"leukemia, lymphocytic, chronic, b-cell",1.0,0.013894,1.0295,7.5e-05,0.005005,1
sorafenib,carcinoma,1.0,0.018456,1.0448,0.000141,0.005011,1
sorafenib,thyroid neoplasms,1.0,0.013042,1.0128,1.3e-05,0.005002,1
sorafenib,squamous cell carcinoma of head and neck,1.0,0.016023,1.0182,4.9e-05,0.005006,1
sorafenib,liver neoplasms,1.0,0.014932,1.0185,3.1e-05,0.005004,1
sorafenib,neuroendocrine tumors,1.0,0.011921,1.0141,9e-06,0.005002,1
sorafenib,"carcinoma, squamous cell",1.0,0.014467,1.017,4e-05,0.005005,1
sorafenib,breast neoplasms,1.0,0.018858,1.0736,0.000252,0.005014,1
sorafenib,urinary bladder neoplasms,1.0,0.014,1.0208,4.9e-05,0.005005,1
metaraminol,hypotension,1.0,0.07628,1.0138,1e-05,0.005002,1
metaraminol,pre-eclampsia,1.0,0.08308,1.0201,1.4e-05,0.005003,1
foscarnet,cytomegalovirus retinitis,1.0,0.088859,1.005,3e-06,0.005001,1
foscarnet,hiv infections,1.0,0.109788,1.1237,8.2e-05,0.005015,1
"efavirenz, emtricitabine, tenofovir disoproxil fumarate drug combination",hiv infections,1.0,0.170416,1.1233,4.1e-05,0.005015,1
mitoxantrone,"lymphoma, non-hodgkin",1.0,0.022637,1.0406,5e-05,0.00501,1
mitoxantrone,prostatic neoplasms,1.0,0.026338,1.0403,6.4e-05,0.005007,1
mitoxantrone,"leukemia, myeloid, acute",1.0,0.024063,1.0426,5.9e-05,0.005009,1
mitoxantrone,lymphoma,1.0,0.027761,1.0695,0.000119,0.005017,1
mitoxantrone,leukemia,1.0,0.024694,1.0514,8.1e-05,0.005013,1
mitoxantrone,ovarian neoplasms,1.0,0.023024,1.0301,3.3e-05,0.005006,1
mitoxantrone,hiv infections,1.0,0.030974,1.1336,0.000285,0.005022,1
"insulin, isophane",diabetes mellitus,1.0,0.052707,1.0891,9.8e-05,0.005016,1
"insulin, isophane","diabetes mellitus, type 2",1.0,0.052705,1.0796,9.6e-05,0.005016,1
"insulin, isophane","diabetes mellitus, type 1",1.0,0.041836,1.0369,3.9e-05,0.005008,1
"insulin, isophane","diabetes, gestational",1.0,0.039397,1.0163,1.1e-05,0.005003,1
vidarabine phosphate,skin neoplasms,1.0,0.012519,1.0187,2.2e-05,0.005004,1
vidarabine phosphate,myelodysplastic syndromes,1.0,0.017887,1.0447,0.000128,0.005015,1
vidarabine phosphate,"leukemia, myeloid, acute",1.0,0.017271,1.0432,0.00011,0.005014,1
vidarabine phosphate,lymphoma,1.0,0.019665,1.0701,0.000221,0.005018,1
vidarabine phosphate,"leukemia, lymphocytic, chronic, b-cell",1.0,0.015016,1.0318,7.5e-05,0.00501,1
vidarabine phosphate,neoplasms,1.0,0.014093,1.0492,0.000155,0.005009,1
vidarabine phosphate,leukemia,1.0,0.017621,1.052,0.00015,0.005016,1
vidarabine phosphate,melanoma,1.0,0.014308,1.0241,5.3e-05,0.005005,1
vidarabine phosphate,"anemia, refractory",1.0,0.012575,1.0181,2.2e-05,0.005005,1
vidarabine phosphate,"melanoma, experimental",1.0,0.011352,1.0165,9e-06,0.005003,1
vidarabine phosphate,"leukemia, myelomonocytic, chronic",1.0,0.012643,1.0213,2.6e-05,0.005006,1
vidarabine phosphate,precursor t-cell lymphoblastic leukemia-lymphoma,1.0,0.01206,1.0189,1.8e-05,0.005005,1
vidarabine phosphate,"anemia, refractory, with excess of blasts",1.0,0.012575,1.0181,2.2e-05,0.005005,1
atazanavir sulfate,"bone diseases, metabolic",1.0,0.036931,1.0082,7e-06,0.005002,1
atazanavir sulfate,covid-19,1.0,0.042556,1.0208,3e-05,0.005004,1
atazanavir sulfate,infections,1.0,0.043506,1.0166,2.4e-05,0.005005,1
atazanavir sulfate,hiv infections,1.0,0.057591,1.1252,0.000163,0.005018,1
rifaximin,parkinson disease,1.0,0.089006,1.0134,1.2e-05,0.005002,1
rifaximin,hepatitis c,1.0,0.07496,1.0103,1e-05,0.005002,1
formoterol fumarate,communication disorders,1.0,0.019956,1.0174,3.4e-05,0.005003,1
formoterol fumarate,"asthma, exercise-induced",1.0,0.01947,1.0112,1.2e-05,0.005003,1
formoterol fumarate,airway obstruction,1.0,0.016947,1.01,3e-06,0.005001,1
formoterol fumarate,covid-19,1.0,0.02229,1.0256,6.7e-05,0.005005,1
formoterol fumarate,asthma,1.0,0.032103,1.0594,0.000156,0.005013,1
formoterol fumarate,respiratory distress syndrome,1.0,0.019165,1.0108,9e-06,0.005002,1
formoterol fumarate,alzheimer disease,1.0,0.02839,1.1365,0.000348,0.005019,1
formoterol fumarate,"pulmonary disease, chronic obstructive",1.0,0.028031,1.027,7.3e-05,0.005008,1
formoterol fumarate,lung diseases,1.0,0.024909,1.0207,4.9e-05,0.005007,1
vancomycin,prediabetic state,1.0,0.070762,1.0187,1.1e-05,0.005003,1
vancomycin,obesity,1.0,0.07848,1.1273,0.000108,0.005015,1
vancomycin,surgical wound infection,1.0,0.058258,1.0056,1e-06,0.005,1
benperidol,psychophysiologic disorders,1.0,0.114008,1.0651,6e-05,0.005022,1
benperidol,dementia,1.0,0.117642,1.0873,6.9e-05,0.005024,1
mycophenolic acid,kidney diseases,1.0,0.006912,1.0341,7.1e-05,0.005008,1
mycophenolic acid,immunologic deficiency syndromes,1.0,0.007429,1.0301,5.3e-05,0.005009,1
mycophenolic acid,precursor cell lymphoblastic leukemia-lymphoma,1.0,0.008996,1.0555,0.000203,0.005017,1
mycophenolic acid,myelodysplastic syndromes,1.0,0.011244,1.0563,0.000256,0.005021,1
mycophenolic acid,"lupus erythematosus, systemic",1.0,0.007054,1.0403,0.000132,0.005007,1
mycophenolic acid,"leukemia, myeloid, acute",1.0,0.010686,1.0549,0.000221,0.005019,1
mycophenolic acid,"histiocytosis, langerhans-cell",1.0,0.008113,1.0356,9.7e-05,0.005011,1
mycophenolic acid,"leukemia, lymphocytic, chronic, b-cell",1.0,0.008965,1.0433,0.00015,0.005014,1
mycophenolic acid,chediak-higashi syndrome,1.0,0.007429,1.0301,5.3e-05,0.005009,1
mycophenolic acid,leukemia,1.0,0.011321,1.0637,0.0003,0.005022,1
mycophenolic acid,renal insufficiency,1.0,0.00717,1.0338,8.8e-05,0.005006,1
mycophenolic acid,"anemia, refractory",1.0,0.0071,1.0294,4.4e-05,0.005008,1
mycophenolic acid,"lymphohistiocytosis, hemophagocytic",1.0,0.007429,1.0301,5.3e-05,0.005009,1
mycophenolic acid,end stage liver disease,1.0,0.00661,1.0259,2.6e-05,0.005004,1
mycophenolic acid,"scleroderma, systemic",1.0,0.006035,1.0271,2.6e-05,0.005004,1
mycophenolic acid,"leukemia, myelomonocytic, chronic",1.0,0.00699,1.0327,5.3e-05,0.005008,1
mycophenolic acid,"leukemia, biphenotypic, acute",1.0,0.006484,1.0343,5.3e-05,0.005008,1
mycophenolic acid,"cystitis, interstitial",1.0,0.005852,1.0261,1.8e-05,0.005004,1
mycophenolic acid,cardiovascular diseases,1.0,0.008992,1.0888,0.000521,0.005015,1
mycophenolic acid,cytomegalovirus infections,1.0,0.007632,1.0294,7.9e-05,0.005005,1
mycophenolic acid,precursor t-cell lymphoblastic leukemia-lymphoma,1.0,0.00646,1.0303,3.5e-05,0.005006,1
mycophenolic acid,lymphoproliferative disorders,1.0,0.008143,1.0361,8.8e-05,0.005012,1
mycophenolic acid,"anemia, refractory, with excess of blasts",1.0,0.0071,1.0294,4.4e-05,0.005008,1
mycophenolic acid,hiv infections,1.0,0.013622,1.1469,0.00106,0.005026,1
mycophenolic acid,nephrotic syndrome,1.0,0.00593,1.029,2.6e-05,0.005005,1
mycophenolic acid,"lung diseases, interstitial",1.0,0.007097,1.0289,5.3e-05,0.005005,1
high fructose corn syrup,"obesity, abdominal",1.0,0.176148,1.0033,1e-06,0.005,1
silymarin,liver diseases,1.0,0.038566,1.0116,7e-06,0.005002,1
silymarin,covid-19,1.0,0.042956,1.0209,3e-05,0.005004,1
silymarin,hepatitis c,1.0,0.040199,1.0141,1.9e-05,0.005004,1
silymarin,hiv infections,1.0,0.055197,1.1252,0.000163,0.005018,1
clobazam,epilepsia partialis continua,1.0,0.019641,1.0114,8e-06,0.005002,1
clobazam,psychophysiologic disorders,1.0,0.039488,1.0703,0.000242,0.005027,1
clobazam,dementia,1.0,0.041107,1.0926,0.000277,0.005029,1
clobazam,glioma,1.0,0.020491,1.0226,4.1e-05,0.005005,1
clobazam,lennox gastaut syndrome,1.0,0.020566,1.0137,1.6e-05,0.005003,1
clobazam,epilepsy,1.0,0.031552,1.0712,0.000179,0.005017,1
clobazam,glioblastoma,1.0,0.020509,1.0298,6e-05,0.005006,1
clobazam,"epilepsies, myoclonic",1.0,0.020457,1.0113,1.1e-05,0.005002,1
betaine,obesity,1.0,0.160715,1.1258,3.6e-05,0.005013,1
acetylcysteine,gaucher disease,1.0,0.008696,1.0205,6e-06,0.005002,1
acetylcysteine,diabetic nephropathies,1.0,0.010617,1.032,8.6e-05,0.005007,1
acetylcysteine,parkinson disease,1.0,0.012374,1.0322,0.000104,0.005005,1
acetylcysteine,metabolic syndrome,1.0,0.011928,1.0557,0.000196,0.005013,1
acetylcysteine,"epilepsy, post-traumatic",1.0,0.010119,1.0315,7.9e-05,0.005005,1
acetylcysteine,hypertension,1.0,0.017946,1.12,0.000605,0.005025,1
acetylcysteine,"leukemia, myeloid, acute",1.0,0.01068,1.0502,0.000153,0.005007,1
acetylcysteine,coronary artery disease,1.0,0.011324,1.0408,0.000122,0.005009,1
acetylcysteine,primary myelofibrosis,1.0,0.008878,1.0252,1.8e-05,0.005003,1
acetylcysteine,"thrombocythemia, essential",1.0,0.008696,1.0205,6e-06,0.005002,1
acetylcysteine,polycythemia vera,1.0,0.009497,1.0216,1.8e-05,0.005003,1
