drug,disease,run_timestamp,run_log,drug_mapping_method,disease_mapping_method,entity_mapping_quality_score,terminology_quality_flag,records_retrieved,records_usable,records_with_abstracts,records_with_intro,records_with_conclusion,records_excluded_missing_text,records_finally_classified,retrieval_usability_rate,literature_file,therapeutic_count,adverse_count,irrelevant_count,literature_completeness_count,therapeutic_relevance_ratio,adverse_evidence_burden,irrelevant_retrieval_noise_rate,literature_completeness_score,literature_evidence_pattern,gamma_safety_overlap,safety_conflict_score,safety_overlap_term_count,top_safety_overlap_terms,GraphDistanceToIndication,RandomWalkScore,StructuralLikelihood,PreferentialAttachment,KatzSimilarity,structural_consistency_score,evidence_domain_support,p_raw,p_penalised,p_final,cM,p_likelihood,posterior_mean,posterior_variance,posterior_ci_low,posterior_ci_high,credible_interval_width,kl_divergence,mean_shift,evidence_readiness_score,quality_flag
Hydroxychloroquine,Kaposi sarcoma,20251229_200320,runs\run_hydroxychloroquine_kaposi_sarcoma_20251229_200320.json,not_captured,not_captured,0.5,not_found_in_local_mapping_artifacts,1,1,1,0.0,0.0,0,1,1.0,literatures\classified_pubmed_Hydroxychloroquine_Kaposi sarcoma_20251229_200317.json,0,0,1,1,0.0,0.0,1.0,0.201849,sparse_evidence,0.2,0.2,,,,,,,,,neither,1e-06,1e-06,1e-06,7.842112,0.5,0.434477,0.00403843,0.312466,0.560639,0.248173,3.669997,0.331975,43.805,Terminology uncertainty
Hydroxychloroquine,Lung cancer,20251229_194031,runs\run_hydroxychloroquine_lung_cancer_20251229_194031.json,not_captured,not_captured,0.5,not_found_in_local_mapping_artifacts,50,50,50,0.0,0.0,0,50,1.0,literatures\classified_pubmed_Hydroxychloroquine_Lung cancer_20251229_194026.json,25,3,22,50,0.5,0.06,0.44,1.0,safety_concerning,0.75,0.75,,,,,,,,,literature_only,0.5,0.38,0.2375,172.932943,0.5,0.298185,0.00092625,0.240308,0.35946,0.119152,1.489196,0.057684,57.263,Terminology uncertainty
Hydroxychloroquine,Marginal zone B-cell lymphoma,20251229_200353,runs\run_hydroxychloroquine_marginal_zone_b-cell_lymphoma_20251229_200353.json,not_captured,not_captured,0.5,not_found_in_local_mapping_artifacts,1,1,1,0.0,0.0,0,1,1.0,literatures\classified_pubmed_Hydroxychloroquine_Marginal zone B-cell lymphoma_20251229_200348.json,1,0,0,1,1.0,0.0,0.0,0.201849,sparse_but_clean,0.75,0.75,,,,,,,,,neither,0.999999,0.999999,0.625,7.842112,0.5,0.516381,0.00410459,0.390752,0.640972,0.250221,0.66023,-0.083218,50.524,Terminology uncertainty
Hydroxychloroquine,Melanoma,20251229_194238,runs\run_hydroxychloroquine_melanoma_20251229_194238.json,mapped_legacy_no_provenance,mapped_legacy_no_provenance,0.75,entities_seen_in_graph_artifacts,41,41,41,0.0,0.0,0,41,1.0,literatures\classified_pubmed_Hydroxychloroquine_Melanoma_20251229_194235.json,18,2,21,41,0.439024,0.04878,0.512195,1.0,mixed_or_limited_signal,0.2,0.2,,,0.3333,0.00068,1.0313,9.4e-05,1e-06,0.887409,literature_and_network,0.439024,0.341463,0.341463,161.203992,0.479865,0.375408,0.00109464,0.311741,0.44129,0.129549,0.383845,0.032002,81.447,High evidence quality
Hydroxychloroquine,Neuroendocrine carcinoma,20251229_200323,runs\run_hydroxychloroquine_neuroendocrine_carcinoma_20251229_200323.json,not_captured,not_captured,0.5,not_found_in_local_mapping_artifacts,0,0,0,,,0,0,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,no_literature_retrieved,,,,,,,,,,,neither,0.5,0.5,0.5,0.0,0.5,0.5,0.00471698,0.365957,0.634043,0.268086,1.25763,0.0,50.979,Terminology uncertainty
Hydroxychloroquine,Ovarian cancer,20251229_193937,runs\run_hydroxychloroquine_ovarian_cancer_20251229_193937.json,not_captured,not_captured,0.5,not_found_in_local_mapping_artifacts,16,16,16,0.0,0.0,0,16,1.0,literatures\classified_pubmed_Hydroxychloroquine_Ovarian cancer_20251229_193933.json,7,1,8,16,0.4375,0.0625,0.5,0.825051,mixed_or_limited_signal,0.6,0.6,,,,,,,,,literature_only,0.4375,0.3125,0.21875,94.541515,0.5,0.318551,0.00147129,0.245854,0.395939,0.150085,2.189732,0.093975,55.499,Terminology uncertainty
Hydroxychloroquine,Pancreatic cancer,20251229_193842,runs\run_hydroxychloroquine_pancreatic_cancer_20251229_193842.json,not_captured,not_captured,0.5,not_found_in_local_mapping_artifacts,44,44,44,0.0,0.0,0,44,1.0,literatures\classified_pubmed_Hydroxychloroquine_Pancreatic cancer_20251229_193838.json,24,3,17,44,0.545455,0.068182,0.386364,1.0,therapeutically_relevant_literature,0.2,0.2,,,,,,,,,literature_only,0.545455,0.409091,0.409091,165.591027,0.5,0.430816,0.00112179,0.36584,0.496998,0.131158,0.164195,0.020641,66.055,Terminology uncertainty
Hydroxychloroquine,Peripheral T-cell lymphoma,20251229_200341,runs\run_hydroxychloroquine_peripheral_t-cell_lymphoma_20251229_200341.json,not_captured,not_captured,0.5,not_found_in_local_mapping_artifacts,0,0,0,,,0,0,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,no_literature_retrieved,,,,,,,,,,,neither,0.5,0.5,0.5,0.0,0.5,0.5,0.00471698,0.365957,0.634043,0.268086,1.25763,0.0,50.979,Terminology uncertainty
Hydroxychloroquine,Prostate cancer,20251229_194153,runs\run_hydroxychloroquine_prostate_cancer_20251229_194153.json,not_captured,not_captured,0.5,not_found_in_local_mapping_artifacts,7,7,7,0.0,0.0,0,7,1.0,literatures\classified_pubmed_Hydroxychloroquine_Prostate cancer_20251229_194150.json,4,1,2,7,0.571429,0.142857,0.285714,0.605547,therapeutically_relevant_literature,0.2,0.2,,,,,,,,,literature_only,0.571429,0.285714,0.285714,48.843252,0.5,0.396211,0.00234898,0.303386,0.492936,0.18955,1.295595,0.102068,60.026,Terminology uncertainty
Hydroxychloroquine,Triple-negative breast cancer,20251229_194138,runs\run_hydroxychloroquine_triple-negative_breast_cancer_20251229_194138.json,not_captured,not_captured,0.5,not_found_in_local_mapping_artifacts,10,10,10,0.0,0.0,0,10,1.0,literatures\classified_pubmed_Hydroxychloroquine_Triple-negative breast cancer_20251229_194133.json,7,1,2,10,0.7,0.1,0.2,0.698283,safety_concerning,0.7,0.7,,,,,,,,,literature_only,0.7,0.5,0.325,65.935991,0.5,0.40216,0.00202149,0.315781,0.491684,0.175903,0.839937,0.072009,55.836,Terminology uncertainty
Levodopa,adenomatous polyposis coli,20251230_131517,runs\run_levodopa_adenomatous_polyposis_coli_20251230_131517.json,mapped_legacy_no_provenance,mapped_legacy_no_provenance,0.75,entities_seen_in_graph_artifacts,1,1,1,1.0,1.0,0,1,1.0,literatures\classified_pubmed_Levodopa_adenomatous polyposis coli_20251230_131513.json,0,0,1,1,0.0,0.0,1.0,0.201849,sparse_evidence,0.2,0.2,,,0.1429,1.5e-05,1.001,0.0,0.0,0.12749,neither,1e-06,1e-06,1e-06,7.842112,0.475244,0.413792,0.00398685,0.29324,0.539805,0.246564,3.390884,0.31129,49.492,Insufficient evidence
Levodopa,cardiovascular diseases,20251230_132457,runs\run_levodopa_cardiovascular_diseases_20251230_132457.json,mapped_legacy_no_provenance,mapped_legacy_no_provenance,0.75,entities_seen_in_graph_artifacts,142,142,142,45.0,46.0,0,142,1.0,literatures\classified_pubmed_Levodopa_cardiovascular diseases_20251230_132452.json,32,29,81,142,0.225352,0.204225,0.570423,1.0,safety_concerning,0.2,0.2,,,0.2,0.002228,1.0637,2e-05,0.0,0.697041,literature_and_network,0.225352,1e-06,1e-06,199.317288,0.47521,0.098524,0.000352,0.064895,0.138193,0.073299,17.77637,0.092594,77.008,Literature-conflicted
Levodopa,hodgkin disease,20251230_132517,runs\run_levodopa_hodgkin_disease_20251230_132517.json,mapped_legacy_no_provenance,mapped_legacy_no_provenance,0.75,entities_seen_in_graph_artifacts,1,1,1,1.0,1.0,0,1,1.0,literatures\classified_pubmed_Levodopa_hodgkin disease_20251230_132513.json,0,0,1,1,0.0,0.0,1.0,0.201849,sparse_evidence,0.1,0.1,,,0.2,0.000258,1.0156,5e-06,0.0,0.566688,neither,1e-06,1e-06,1e-06,7.842112,0.476473,0.414819,0.00398974,0.29419,0.540845,0.246655,3.404458,0.312317,57.578,Insufficient evidence
Levodopa,mediastinal neoplasms,20251230_132521,runs\run_levodopa_mediastinal_neoplasms_20251230_132521.json,mapped_legacy_no_provenance,mapped_legacy_no_provenance,0.75,entities_seen_in_graph_artifacts,0,0,0,,,0,0,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,no_literature_retrieved,,,,,0.2,0.000219,1.0179,4e-06,0.0,0.561137,neither,0.5,0.5,0.5,0.0,0.476405,0.477312,0.00470727,0.344236,0.612042,0.267806,1.258715,-0.022688,63.15,Insufficient evidence
Levodopa,pleural effusion,20251230_132529,runs\run_levodopa_pleural_effusion_20251230_132529.json,mapped_legacy_no_provenance,mapped_legacy_no_provenance,0.75,entities_seen_in_graph_artifacts,0,0,0,,,0,0,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,no_literature_retrieved,,,,,0.0,6e-06,1.0007,0.0,0.0,0.107164,neither,0.5,0.5,0.5,0.0,0.471162,0.472271,0.00470247,0.339448,0.607116,0.267668,1.259251,-0.027729,56.342,Insufficient evidence
Levodopa,prostatic hyperplasia,20251230_131452,runs\run_levodopa_prostatic_hyperplasia_20251230_131452.json,mapped_legacy_no_provenance,mapped_legacy_no_provenance,0.75,entities_seen_in_graph_artifacts,0,0,0,,,0,0,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,no_literature_retrieved,,,,,0.1429,2.1e-05,1.0021,1e-06,0.0,0.166939,neither,0.5,0.5,0.5,0.0,0.475212,0.476166,0.00470626,0.343146,0.610923,0.267777,1.258827,-0.023834,57.237,Insufficient evidence
