Drug,Disease,GraphDistanceToIndication,RandomWalkScore,StructuralLikelihood,PreferentialAttachment,KatzSimilarity,Label,graph_score,p_like,SelectedDrug
azithromycin,"hypertrophy, left ventricular",0.2,7e-05,1.0191,1.7e-05,0.0,0,-4.551882180000001,0.010437248565440777,Azithromycin
azithromycin,frailty,0.2,8e-05,1.019,1.7e-05,0.0,0,-4.5518906800000005,0.010437160775150634,Azithromycin
azithromycin,venous thrombosis,0.2,0.000123,1.0188,3.5e-05,0.0,0,-4.551902650000001,0.010437037147004495,Azithromycin
azithromycin,proteinuria,0.2,0.000162,1.0187,4e-05,0.0,0,-4.551904100000001,0.01043702217126229,Azithromycin
azithromycin,nasopharyngeal carcinoma,0.2,0.000109,1.0188,2.9e-05,0.0,0,-4.55190591,0.01043700347743462,Azithromycin
azithromycin,"constriction, pathologic",0.2,4.7e-05,1.0189,1.2e-05,0.0,0,-4.55190973,0.0104369640242717,Azithromycin
azithromycin,lennox gastaut syndrome,0.2,0.000137,1.0184,3.5e-05,0.0,0,-4.5519431500000005,0.01043661886702911,Azithromycin
azithromycin,pregnancy in diabetics,0.2,6.6e-05,1.0185,1.7e-05,0.0,0,-4.55194918,0.010436556591206958,Azithromycin
azithromycin,diabetic ketoacidosis,0.2,4.7e-05,1.0184,1.2e-05,0.0,0,-4.551964730000001,0.010436395997707158,Azithromycin
azithromycin,pregnancy complications,0.2,0.000162,1.0181,1.7e-05,0.0,0,-4.55196918,0.010436350040531802,Azithromycin
azithromycin,cerebral small vessel diseases,0.2,9.7e-05,1.0181,2.3e-05,0.0,0,-4.5519856700000005,0.010436179742542396,Azithromycin
azithromycin,intellectual disability,0.2,4.9e-05,1.018,1.2e-05,0.0,0,-4.55200823,0.01043594676199699,Azithromycin
azithromycin,cerebral infarction,0.2,8.9e-05,1.0179,2.3e-05,0.0,0,-4.55200967,0.010435931891073072,Azithromycin
azithromycin,st elevation myocardial infarction,0.2,8.3e-05,1.0179,1.7e-05,0.0,0,-4.552010930000001,0.010435918879031841,Azithromycin
azithromycin,ischemic stroke,0.2,0.000116,1.0178,2.9e-05,0.0,0,-4.552014160000001,0.01043588552284075,Azithromycin
azithromycin,endometriosis,0.2,4.2e-05,1.0179,1.2e-05,0.0,0,-4.552020980000001,0.010435815093087194,Azithromycin
azithromycin,"carcinoma, ovarian epithelial",0.2,6.5e-05,1.0178,1.7e-05,0.0,0,-4.552026430000001,0.010435758811584095,Azithromycin
