Drug,Disease,GraphDistanceToIndication,RandomWalkScore,StructuralLikelihood,PreferentialAttachment,KatzSimilarity,Label,graph_score,p_like,SelectedDrug
metformin,bronchiectasis,0.2,2.3e-05,1.0927,2.4e-05,0.0,0,-4.54379821,0.010521073623533564,metformin
metformin,chronic disease,0.2,2.3e-05,1.0927,2.4e-05,0.0,0,-4.54379821,0.010521073623533564,metformin
metformin,pregnancy in obesity,0.2,2.3e-05,1.0927,2.4e-05,0.0,0,-4.54379821,0.010521073623533564,metformin
metformin,obstetric labor complications,0.2,2.3e-05,1.0927,2.4e-05,0.0,0,-4.54379821,0.010521073623533564,metformin
metformin,"liver failure, acute",0.2,0.000105,1.0925,4.8e-05,0.0,0,-4.54380067,0.010521048014028042,metformin
metformin,low tension glaucoma,0.2,4.8e-05,1.0926,4.8e-05,0.0,0,-4.54380392,0.010521014180426287,metformin
metformin,hypothyroidism,0.2,5.5e-05,1.0925,4.8e-05,0.0,0,-4.543813170000001,0.010520917885379694,metformin
metformin,hypopituitarism,0.2,5.5e-05,1.0925,4.8e-05,0.0,0,-4.543813170000001,0.010520917885379694,metformin
metformin,"sarcoma, kaposi",0.2,2.8e-05,1.0925,2.4e-05,0.0,0,-4.54381896,0.010520857610329408,metformin
metformin,cryptococcosis,0.2,2.6e-05,1.0925,2.4e-05,0.0,0,-4.543819460000001,0.010520852405246094,metformin
metformin,encephalitis,0.2,2.5e-05,1.0925,2.4e-05,0.0,0,-4.54381971,0.010520849802705403,metformin
metformin,"conjunctivitis, allergic",0.2,2.4e-05,1.0925,2.4e-05,0.0,0,-4.54381996,0.010520847200165337,metformin
metformin,blepharitis,0.2,2.4e-05,1.0925,2.4e-05,0.0,0,-4.54381996,0.010520847200165337,metformin
metformin,opportunistic infections,0.2,2.3e-05,1.0925,2.4e-05,0.0,0,-4.543820210000001,0.01052084459762591,metformin
metformin,leg injuries,0.2,4.8e-05,1.0924,2.4e-05,0.0,0,-4.54382496,0.010520795149497856,metformin
metformin,leg ulcer,0.2,2.9e-05,1.0924,2.4e-05,0.0,0,-4.543829710000001,0.01052074570159973,metformin
metformin,pressure ulcer,0.2,2.9e-05,1.0924,2.4e-05,0.0,0,-4.543829710000001,0.01052074570159973,metformin
metformin,"mycobacterium infections, nontuberculous",0.2,2.9e-05,1.0924,2.4e-05,0.0,0,-4.543829710000001,0.01052074570159973,metformin
metformin,eosinophilia,0.2,2.8e-05,1.0924,2.4e-05,0.0,0,-4.543829960000001,0.010520743099085142,metformin
metformin,anhedonia,0.2,2.8e-05,1.0924,2.4e-05,0.0,0,-4.543829960000001,0.010520743099085142,metformin
metformin,"xanthogranuloma, juvenile",0.2,2.7e-05,1.0924,2.4e-05,0.0,0,-4.54383021,0.010520740496571201,metformin
metformin,histiocytic sarcoma,0.2,2.7e-05,1.0924,2.4e-05,0.0,0,-4.54383021,0.010520740496571201,metformin
metformin,"esthesioneuroblastoma, olfactory",0.2,2.7e-05,1.0924,2.4e-05,0.0,0,-4.54383021,0.010520740496571201,metformin
metformin,rhabdoid tumor,0.2,2.7e-05,1.0924,2.4e-05,0.0,0,-4.54383021,0.010520740496571201,metformin
metformin,hyaline membrane disease,0.2,2.4e-05,1.0924,2.4e-05,0.0,0,-4.54383096,0.010520732689033183,metformin
metformin,otitis,0.2,2.4e-05,1.0924,2.4e-05,0.0,0,-4.54383096,0.010520732689033183,metformin
metformin,hantavirus pulmonary syndrome,0.2,2.4e-05,1.0924,2.4e-05,0.0,0,-4.54383096,0.010520732689033183,metformin
metformin,pseudohypoparathyroidism,0.2,2.4e-05,1.0924,2.4e-05,0.0,0,-4.54383096,0.010520732689033183,metformin
metformin,herpes genitalis,0.2,2.3e-05,1.0924,2.4e-05,0.0,0,-4.5438312100000005,0.010520730086521778,metformin
metformin,peanut hypersensitivity,0.2,2.3e-05,1.0924,2.4e-05,0.0,0,-4.5438312100000005,0.010520730086521778,metformin
metformin,food hypersensitivity,0.2,2.3e-05,1.0924,2.4e-05,0.0,0,-4.5438312100000005,0.010520730086521778,metformin
metformin,"bronchitis, chronic",0.2,2.2e-05,1.0924,2.4e-05,0.0,0,-4.543831460000001,0.010520727484011014,metformin
metformin,cachexia,0.2,2.2e-05,1.0924,2.4e-05,0.0,0,-4.543831460000001,0.010520727484011014,metformin
metformin,intracranial hypertension,0.2,4.8e-05,1.0923,2.4e-05,0.0,0,-4.543835960000001,0.010520680638926198,metformin
metformin,"neoplasm recurrence, local",0.2,4.1e-05,1.0923,2.4e-05,0.0,0,-4.543837710000001,0.010520662421448945,metformin
metformin,voice disorders,0.2,3.7e-05,1.0923,2.4e-05,0.0,0,-4.54383871,0.010520652011475966,metformin
metformin,hemorrhagic stroke,0.2,3.5e-05,1.0923,2.4e-05,0.0,0,-4.543839210000001,0.010520646806493289,metformin
metformin,herpes zoster,0.2,3.4e-05,1.0923,2.4e-05,0.0,0,-4.543839460000001,0.010520644204002906,metformin
metformin,alpha 1-antitrypsin deficiency,0.2,3.3e-05,1.0923,2.4e-05,0.0,0,-4.54383971,0.010520641601513168,metformin
metformin,dysbiosis,0.2,3.2e-05,1.0923,2.4e-05,0.0,0,-4.543839960000001,0.010520638999024058,metformin
metformin,"shock, traumatic",0.2,3.2e-05,1.0923,2.4e-05,0.0,0,-4.543839960000001,0.010520638999024058,metformin
metformin,gastroparesis,0.2,2.6e-05,1.0923,2.4e-05,0.0,0,-4.54384146,0.010520623384102794,metformin
metformin,"obstetric labor, premature",0.2,2.6e-05,1.0923,2.4e-05,0.0,0,-4.54384146,0.010520623384102794,metformin
metformin,biliary atresia,0.2,2.6e-05,1.0923,2.4e-05,0.0,0,-4.54384146,0.010520623384102794,metformin
metformin,"lymphoma, t-cell",0.2,2.5e-05,1.0923,2.4e-05,0.0,0,-4.543841710000001,0.010520620781618143,metformin
metformin,machado-joseph disease,0.2,2.5e-05,1.0923,2.4e-05,0.0,0,-4.543841710000001,0.010520620781618143,metformin
metformin,retinoblastoma,0.2,2.4e-05,1.0923,2.4e-05,0.0,0,-4.543841960000001,0.01052061817913413,metformin
metformin,persistent fetal circulation syndrome,0.2,2.4e-05,1.0923,2.4e-05,0.0,0,-4.543841960000001,0.01052061817913413,metformin
metformin,"myoclonic epilepsy, juvenile",0.2,1.9e-05,1.0923,2.4e-05,0.0,0,-4.54384321,0.01052060516672363,metformin
metformin,ureterolithiasis,0.2,1.3e-05,1.0923,2.4e-05,0.0,0,-4.543844710000001,0.010520589551852037,metformin
